customer_id,first_name,last_name,email,city,state,signup_date,loyalty_tier
CUST0001,Jordan,Smith,jordan.smith1@example.com,Chicago,MA,2024-06-30,Bronze
CUST0002,Jordan,Rodriguez,jordan.rodriguez2@example.com,Seattle,TX,2025-01-20,Bronze
CUST0003,Jordan,Brown,jordan.brown3@example.com,Boston,OR,2025-07-23,Bronze
CUST0004,Riley,Rodriguez,riley.rodriguez4@example.com,Atlanta,MA,2025-02-16,Silver
CUST0005,Avery,Williams,avery.williams5@example.com,Atlanta,FL,2024-08-25,Bronze
CUST0006,Quinn,Johnson,quinn.johnson6@example.com,Seattle,GA,2024-02-22,Bronze
CUST0007,Quinn,Martinez,quinn.martinez7@example.com,Chicago,TX,2025-02-27,Silver
CUST0008,Hayden,Johnson,hayden.johnson8@example.com,Portland,IL,2025-08-19,Silver
CUST0009,Quinn,Martinez,quinn.martinez9@example.com,Boston,WA,2023-12-31,Silver
CUST0010,Parker,Johnson,parker.johnson10@example.com,Boston,WA,2024-12-08,Bronze
CUST0011,Quinn,Williams,quinn.williams11@example.com,Miami,FL,2024-06-16,Silver
CUST0012,Jordan,Martinez,jordan.martinez12@example.com,Denver,OR,2024-07-22,Bronze
CUST0013,Hayden,Jones,hayden.jones13@example.com,Portland,MA,2025-10-16,Bronze
CUST0014,Avery,Brown,avery.brown14@example.com,Austin,FL,2024-12-29,Bronze
CUST0015,Riley,Martinez,riley.martinez15@example.com,Miami,MA,2025-09-16,Silver
CUST0016,Morgan,Williams,morgan.williams16@example.com,Chicago,CO,2024-07-24,Silver
CUST0017,Sawyer,Jones,sawyer.jones17@example.com,Dallas,GA,2025-07-04,Bronze
CUST0018,Riley,Williams,riley.williams18@example.com,Portland,AZ,2024-02-16,Gold
CUST0019,Jordan,Williams,jordan.williams19@example.com,Denver,GA,2025-07-17,Bronze
CUST0020,Hayden,Martinez,hayden.martinez20@example.com,Phoenix,OR,2024-07-29,Platinum
CUST0021,Avery,Johnson,avery.johnson21@example.com,Portland,IL,2025-09-01,Bronze
CUST0022,Parker,Miller,parker.miller22@example.com,Denver,AZ,2023-11-18,Platinum
CUST0023,Parker,Rodriguez,parker.rodriguez23@example.com,Denver,OR,2024-03-02,Gold
CUST0024,Parker,Rodriguez,parker.rodriguez24@example.com,Dallas,MA,2024-04-19,Bronze
CUST0025,Logan,Rodriguez,logan.rodriguez25@example.com,Portland,TX,2025-07-20,Bronze
CUST0026,Avery,Johnson,avery.johnson26@example.com,Miami,IL,2024-07-17,Bronze
CUST0027,Dakota,Johnson,dakota.johnson27@example.com,Seattle,AZ,2024-01-24,Platinum
CUST0028,Sawyer,Williams,sawyer.williams28@example.com,Denver,AZ,2025-05-30,Bronze
CUST0029,Sawyer,Martinez,sawyer.martinez29@example.com,Atlanta,MA,2025-05-20,Gold
CUST0030,Riley,Jones,riley.jones30@example.com,Atlanta,FL,2025-02-05,Gold
CUST0031,Morgan,Johnson,morgan.johnson31@example.com,Boston,MA,2024-01-19,Bronze
CUST0032,Dakota,Rodriguez,dakota.rodriguez32@example.com,Boston,TX,2024-06-27,Bronze
CUST0033,Avery,Brown,avery.brown33@example.com,Seattle,TX,2024-10-18,Bronze
CUST0034,Riley,Jones,riley.jones34@example.com,Phoenix,MA,2025-05-20,Bronze
CUST0035,Dakota,Martinez,dakota.martinez35@example.com,Phoenix,MA,2025-03-13,Gold
CUST0036,Riley,Johnson,riley.johnson36@example.com,Seattle,GA,2024-11-11,Bronze
CUST0037,Morgan,Smith,morgan.smith37@example.com,Seattle,TX,2024-12-31,Silver
CUST0038,Jordan,Brown,jordan.brown38@example.com,Boston,MA,2025-05-17,Bronze
CUST0039,Hayden,Williams,hayden.williams39@example.com,Chicago,AZ,2024-07-27,Gold
